Id	LST	M3	M3_abs
TCGA-BH-A0B9	14	0	0
TCGA-BH-A0BA	12	0	0
TCGA-BH-A0BC	4	0	0
TCGA-BH-A0BD	4	0.121216702	12.1216702
TCGA-BH-A0BF	23	0.195732544	19.5732544
TCGA-BH-A0BG	24	0.28873224	28.873224
TCGA-BH-A0BJ	13	0	0
TCGA-BH-A0BL	32	0.013119402	1.3119402
TCGA-BH-A0BM	2	0.138437583	13.8437583
TCGA-BH-A0BO	1	0	0
TCGA-BH-A0BP	21	0.034249157	3.4249157
TCGA-BH-A0BQ	1	0	0
TCGA-BH-A0BR	17	0	0
TCGA-BH-A0BS	5	0	0
TCGA-BH-A0BT	9	0	0
TCGA-BH-A0BV	35	0	0
TCGA-BH-A0BW	25	0.114001503	11.4001503
TCGA-BH-A0C0	33	0.18462979	18.462979
TCGA-BH-A0C1	8	0	0
TCGA-BH-A0C3	21	0	0
TCGA-BH-A0C7	22	0	0
TCGA-BH-A0DD	10	0	0
TCGA-BH-A0DE	9	0	0
TCGA-BH-A0DG	26	0	0
TCGA-BH-A0DH	11	0	0
TCGA-BH-A0DI	12	0	0
TCGA-BH-A0DK	10	0.349151262	34.9151262
TCGA-BH-A0DL	6	0	0
TCGA-BH-A0DO	0	0	0
TCGA-BH-A0DP	6	0.219122982	21.9122982
TCGA-BH-A0DQ	25	0	0
TCGA-BH-A0DS	8	0	0
TCGA-BH-A0DT	0	0	0
TCGA-BH-A0DX	17	0	0
TCGA-BH-A0DZ	9	0	0
TCGA-BH-A0E0	13	0	0
TCGA-BH-A0E1	1	0	0
TCGA-BH-A0E2	12	0	0
TCGA-BH-A0E6	15	0.172476618	17.2476618
TCGA-BH-A0E7	2	0	0
TCGA-BH-A0E9	15	0	0
TCGA-BH-A0EA	12	0	0
TCGA-BH-A0EB	5	0.009773995	0.9773995
TCGA-BH-A0EE	8	0	0
TCGA-BH-A0EI	9	0	0
TCGA-BH-A0GY	18	0	0
TCGA-BH-A0GZ	8	0.201666795	20.1666795
